"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.644625000E0,5.635930023E0,-1.239527390E1,7.514373779E0,1.555224535E1
2.654598000E0,5.418132935E0,-4.171974335E0,-1.341809692E0,6.968643168E0
2.664571000E0,3.828289032E0,-1.967508545E0,-1.109492798E0,4.444981558E0
2.674544000E0,1.515149231E0,-4.761598206E0,3.558849335E0,6.134647769E0
2.684516000E0,1.636097717E-1,-9.046288147E0,6.278244324E0,1.101264951E1
2.694489000E0,-8.164022827E-1,-1.302022430E1,5.648054810E0,1.421595149E1
2.704462000E0,-3.180885315E0,-1.739757156E1,4.358037415E0,1.821499431E1
2.714435000E0,-5.326972504E0,-1.965757187E1,2.802023163E0,2.055840708E1
2.724408000E0,-4.683460693E0,-1.537871979E1,1.053359528E0,1.611053670E1
2.734381000E0,-2.242337036E0,-1.067370392E1,-3.667373657E-2,1.090675826E1
2.744353000E0,1.746867371E-1,-8.435707855E0,-5.959107971E-1,8.458533688E0
2.754326000E0,1.209035797E0,-7.692503357E0,-8.262817383E-1,7.830652397E0
2.764298917E0,2.221380615E0,-7.127428436E0,-2.460583191E0,7.860613054E0
2.774271917E0,4.300856323E0,-6.354435883E0,-5.158123627E0,9.245672493E0
2.784244917E0,5.235512695E0,-6.614445190E0,-4.115092621E0,9.385918476E0
2.794217917E0,5.225782928E0,-6.961723022E0,-1.046174469E0,8.767489702E0
2.804190917E0,4.554429016E0,-7.660020905E0,-3.105292511E0,9.437244593E0
2.814162917E0,3.175646210E0,-8.833131409E0,-4.373455353E0,1.035548411E1
2.824135917E0,1.088536377E0,-9.242829437E0,-3.329975281E0,9.884510247E0
2.834108917E0,-2.474354553E-1,-8.875343628E0,-1.476080475E0,9.000653442E0
2.844081917E0,-4.733157349E-1,-7.557184753E0,1.875599670E-1,7.574315013E0
2.854054917E0,1.132095795E0,-7.835156708E0,-2.573149109E-1,7.920702777E0
2.864027917E0,1.368753662E0,-7.654183044E0,-1.464704132E0,7.912355077E0
2.873999917E0,2.134411469E0,-6.797364807E0,-1.149459686E0,7.216726281E0
2.883972917E0,2.116748199E0,-6.491101685E0,-1.134939880E0,6.921207449E0
2.893945917E0,1.597478027E0,-6.710395660E0,-1.049916687E0,6.977368488E0
2.903918917E0,1.116827545E0,-7.326963501E0,-5.273533630E-1,7.430329702E0
2.913891917E0,7.605683899E-1,-7.923922119E0,1.023870850E-1,7.960997999E0
2.923864917E0,4.833448792E-1,-8.612939301E0,5.957611084E-2,8.626696644E0
2.933837917E0,1.604663086E-1,-9.623038788E0,-6.354286194E-1,9.645330190E0
2.943809917E0,-1.125659180E-1,-1.041459274E1,-1.674268341E0,1.054891405E1
2.953782917E0,-5.538482666E-2,-1.062206131E1,-2.786455536E0,1.098160227E1
2.963755917E0,4.840933228E-1,-1.027089157E1,-3.688330078E0,1.092379690E1
2.973728917E0,1.140328674E0,-9.893975372E0,-3.935316467E0,1.070877275E1
2.983701917E0,1.471140747E0,-9.675878906E0,-3.119962006E0,1.027234397E1
2.993674917E0,1.341360626E0,-9.503138123E0,-1.642085266E0,9.736802685E0
3.003646917E0,3.805087280E-1,-9.865684204E0,-5.978567505E-1,9.891104306E0
3.013619917E0,-1.313518524E0,-1.033346146E1,-4.423301697E-1,1.042599696E1
3.023592917E0,-2.815794525E0,-1.101304825E1,-8.803193665E-1,1.140135486E1
3.033565917E0,-3.713777161E0,-1.142154877E1,-1.729952545E0,1.213411113E1
3.043538917E0,-4.088448029E0,-1.130134872E1,-2.279609528E0,1.223243679E1
3.053511917E0,-3.653003540E0,-1.096529755E1,-1.957329712E0,1.172234297E1
3.063484917E0,-2.284698944E0,-1.065199905E1,-2.225272522E0,1.111920730E1
3.073456917E0,-7.879614258E-1,-1.006641678E1,-2.760559387E0,1.046777522E1
3.083429917E0,4.498146057E-1,-9.453591156E0,-3.129691772E0,9.968334340E0
3.093402917E0,1.201401672E0,-9.505084076E0,-3.663332062E0,1.025719216E1
3.103375917E0,1.537752228E0,-1.063912582E1,-3.744912415E0,1.138332329E1
3.113348917E0,1.313069458E0,-1.211685287E1,-3.870950317E0,1.278774927E1
3.123321917E0,1.097218323E-1,-1.265064285E1,-3.273392944E0,1.306774291E1
3.133293917E0,-1.350641327E0,-1.325837906E1,-6.629713440E-1,1.334347699E1
3.143266917E0,-1.494641876E0,-1.567315750E1,-6.676116943E-2,1.574440464E1
3.153239917E0,-1.083596649E0,-1.708771591E1,1.682501221E-1,1.712286556E1
3.163212917E0,-1.010997620E0,-1.772404266E1,1.596280518E0,1.782447520E1
3.173185917E0,-3.619473267E-1,-1.778960632E1,2.887495422E0,1.802605694E1
3.183158917E0,1.510808258E0,-1.754935593E1,2.919528809E0,1.785458158E1
3.193131917E0,3.183879089E0,-1.747720596E1,1.638642426E0,1.784026242E1
