"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.162565917E0,8.451275482E0,-1.394545029E1,-1.655557251E-1,1.630726984E1
2.172537917E0,8.461604004E0,-1.471619751E1,-3.956272888E-1,1.698003923E1
2.182510917E0,7.504943390E0,-1.533815414E1,-8.150550842E-1,1.709524678E1
2.192482792E0,9.106163635E0,-1.448762283E1,-8.143066406E-2,1.711198593E1
2.202455792E0,7.801177368E0,-1.450124451E1,-4.565505981E-2,1.646652802E1
2.212428792E0,4.662354584E0,-1.497590744E1,-7.779322815E-1,1.570415654E1
2.222400792E0,3.456761627E0,-1.479942444E1,-1.866917725E0,1.531200661E1
2.232373792E0,3.000061340E0,-1.431473236E1,-2.601140900E0,1.485523021E1
2.242345792E0,3.684737549E0,-1.371163651E1,-1.805844727E0,1.431248901E1
2.252318792E0,3.668271790E0,-1.265872604E1,1.457070007E0,1.325981206E1
2.262290792E0,2.114353180E0,-1.217343521E1,5.266498260E0,1.343127016E1
2.272263792E0,9.969268799E-1,-1.107172623E1,3.614832916E0,1.168948253E1
2.282235792E0,-2.745740204E0,-1.195653625E1,1.405577087E0,1.234801585E1
2.292208792E0,-3.795806580E0,-1.235635483E1,-4.033811646E0,1.354102244E1
2.302181792E0,-3.461701355E0,-1.269360352E1,-4.179458771E0,1.380502887E1
2.312153792E0,-3.847000122E0,-1.309297302E1,-1.203197937E0,1.369938093E1
2.322126792E0,-3.482508087E0,-1.258328293E1,-1.142124939E-1,1.305679579E1
2.332098792E0,-2.118095398E0,-9.778265991E0,7.077282715E-1,1.003003954E1
2.342071792E0,-9.159452820E-1,-6.781647491E0,1.333427124E0,6.971924150E0
2.352043792E0,-3.487747192E-1,-4.895569611E0,2.022743683E0,5.308459063E0
2.362016792E0,1.254990234E0,-2.697839813E0,3.084635468E0,4.285827355E0
2.371988792E0,2.633024597E0,-1.138233032E0,3.103196869E0,4.225899167E0
2.381961792E0,3.537294159E0,2.296224976E-1,2.412233734E0,4.287662306E0
2.391934792E0,3.843557281E0,2.553689575E-1,1.748963013E0,4.230486674E0
2.401906792E0,3.305875397E0,-4.746629333E-1,1.693278809E0,3.744503994E0
2.411879792E0,3.453169098E0,-2.478845215E-1,1.709894257E0,3.861290189E0
2.421851792E0,3.230581970E0,1.974394226E-1,1.385069733E0,3.520519899E0
2.431824792E0,3.102747803E0,-7.107220459E-1,8.815168762E-1,3.302914131E0
2.441796792E0,2.894381104E0,-2.107916565E0,1.196012878E-1,3.582605014E0
2.451769792E0,1.966161346E0,-3.015928345E0,-1.224753113E0,3.802845567E0
2.461741792E0,9.394464111E-1,-3.729045410E0,-2.946472778E0,4.844588844E0
2.471714792E0,2.897973633E-1,-4.726571045E0,-4.869972839E0,6.792723446E0
2.481687792E0,2.016307068E-1,-5.723946991E0,-8.508905640E0,1.025698295E1
2.491659792E0,-9.370513916E-2,-7.082671509E0,-1.232237549E1,1.421316130E1
2.501632792E0,8.083190918E-3,-8.868457947E0,-1.372196503E1,1.633835781E1
2.511604792E0,1.107696533E0,-1.013198044E1,-1.265184036E1,1.624663300E1
2.521577792E0,2.215991821E0,-1.080078964E1,-1.007060806E1,1.493267636E1
2.531549792E0,3.041674805E0,-1.180026123E1,-8.270900574E0,1.472772036E1
2.541522792E0,2.706521759E0,-1.229528183E1,-7.600145416E0,1.470582965E1
2.551495792E0,1.941462708E0,-1.203123093E1,-6.976392517E0,1.404243026E1
2.561467792E0,1.869312744E0,-1.085213287E1,-5.926326141E0,1.250537723E1
2.571440792E0,1.686393127E0,-9.416168976E0,-4.829706573E0,1.071607323E1
2.581412792E0,1.913770294E0,-7.672894135E0,-5.597909088E0,9.688777389E0
2.591385792E0,2.831511841E0,-6.297404480E0,-7.736960907E0,1.036992413E1
2.601357792E0,2.325264587E0,-7.154671783E0,-8.943751373E0,1.168703865E1
2.611330792E0,8.068222046E-2,-9.590556335E0,-5.254373474E0,1.093589142E1
2.621302792E0,1.125060425E0,-1.206550964E1,-2.026785278E-1,1.211954465E1
2.631275792E0,5.569617920E0,-1.386491776E1,1.424288177E0,1.500950315E1
2.641248792E0,7.215295715E0,-1.467533249E1,-2.176473999E-1,1.635460933E1
2.651220792E0,5.623206482E0,-1.522513916E1,-5.716761932E0,1.720775060E1
2.661193792E0,3.770359497E0,-1.530821640E1,-9.677076416E0,1.849872720E1
2.671165792E0,5.165009308E0,-1.259765305E1,-1.077908478E0,1.365796728E1
2.681138792E0,6.951693878E0,-7.261399841E0,5.038222961E0,1.124445046E1
2.691110792E0,6.383176117E0,-4.124672699E0,2.905607758E0,8.136363970E0
2.701083792E0,4.454287262E0,-5.156027985E0,1.315913544E0,6.939519295E0
2.711055792E0,1.776356049E0,-8.086334381E0,1.174757080E0,8.362075025E0
2.721028792E0,-3.860472107E-1,-1.091604996E1,2.553839264E0,1.121745399E1
2.731001792E0,-8.686436462E-1,-1.170865173E1,4.165238342E0,1.245777980E1
2.740973792E0,-8.301736450E-1,-1.268821472E1,3.498824158E0,1.318793963E1
2.750946792E0,-1.606459351E0,-1.552556442E1,1.320254517E0,1.566419274E1
2.760918792E0,-2.941982117E0,-1.781131119E1,-1.390608215E0,1.810612759E1
2.770891792E0,-3.444636841E0,-1.717693039E1,-3.920946350E0,1.795233358E1
